Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,1416524797,9781416524793,2,3.93,Pocket Books,Mass Market Paperback,736,2006,2000,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#59),read,,,,1,0
39861971,Oathbringer Part One (The Stormlight Archive #3.1),Brandon Sanderson,"Sanderson, Brandon",,0575093366,9780575093362,2,4.5,Gollancz,Paperback,635,2018,2017,,28/10/22,read-fantasy-fiction,read-fantasy-fiction (#74),read,,,,1,0
15872298,Boomerang: The Biggest Bust,Michael   Lewis,"Lewis, Michael",,0241955025,9780241955024,3,3.9,Penguin Group,Paperback,213,2012,2011,,10/4/22,read-business,read-business (#13),read,,,,1,0
39701928,Lost Guides: Bali & Islands,Anna Chittenden,"Chittenden, Anna",,9811143617,9789811143618,3,4,Lost Guides,Paperback,216,2019,,,10/4/22,read-travel,read-travel (#2),read,,,,1,0
36203209,Lost Guides Singapore,Anna Chittenden,"Chittenden, Anna",,9811119090,9789811119095,3,3.78,Not Avail,Paperback,212,2019,,,10/4/22,read-travel,read-travel (#3),read,,,,1,0
887858,"Divided Allegiance (The Deed of Paksenarrion, #2)",Elizabeth Moon,"Moon, Elizabeth",,0671697862,9780671697860,3,4.18,Baen,Paperback,522,1988,1988,,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#64),read,,,,1,0
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",Brian Herbert,0593098234,9780593098233,1,3.89,Ace Books,Mass Market Paperback,337,2019,1969,28/5/22,31/3/22,read-fantasy-fiction,read-fantasy-fiction (#65),read,,,,1,0
33313,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,0060899220,9780060899226,4,4.13,Ecco/Harper Perennial,Paperback,312,2007,2000,,31/3/22,,,read,,,,1,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,0735214484,9780735214484,2,4.14,Riverhead Books,Hardcover,352,2019,2019,,31/3/22,read-business,read-business (#3),read,,,,1,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann","Zigmantas Ardickas, Hilda Rosner",,,5,4.06,Bantam Books,Mass Market Paperback,152,1981,1922,,16/9/22,read-self-improvement,read-self-improvement (#7),read,,,,1,0
36680837,Meditations,Marcus Aurelius,"Aurelius, Marcus",Gregory Hays,,,3,4.26,Modern Library,Kindle Edition,256,2002,180,27/12/22,16/9/22,read-self-improvement,read-self-improvement (#6),read,,,,1,0
50975575,The Holy Quran: English Translation,Anonymous,"Anonymous, Anonymous",,,,0,4.38,,Kindle Edition,546,2019,632,,23/12/22,to-read,to-read (#37),to-read,,,,0,0
1923820,The Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,,,0,4.42,,Hardcover,1590,2008,1611,,23/12/22,to-read,to-read (#36),to-read,,,,0,0
41181911,Super Thinking: The Big Book of Mental Models,Gabriel Weinberg,"Weinberg, Gabriel",Lauren McCann,0525533583,9780525533580,4,4.05,Portfolio,Hardcover,354,2019,2019,22/12/22,26/10/22,read-self-improvement,read-self-improvement (#5),read,,,,1,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,1250103509,9781250103505,0,4.09,St. Martin's Press,Hardcover,336,2017,2017,,21/12/22,to-read,to-read (#35),to-read,,,,0,0
48581741,The Role of Deliberate Practice in the Acquisition of Expert Performance,K. Anders Ericsson,"Ericsson, K. Anders","Ralf Th. Krampe, Clemens Tesch-Romer",,,0,4.4,Psychological Review,Unknown Binding,,1993,,,21/12/22,to-read,to-read (#34),to-read,,,,0,0
27652,Accidental Empires,Robert X. Cringely,"Cringely, Robert X.",,0887308554,9780887308550,0,4.02,Harper Business,Paperback,384,1996,1992,,20/12/22,to-read,to-read (#33),to-read,,,,0,0
39861972,"Oathbringer Part Two (The Stormlight Archive, #3.2)",Brandon Sanderson,"Sanderson, Brandon",,0575093374,9780575093379,0,4.66,Gollancz,Paperback,756,2018,2017,,1/12/22,to-read,to-read (#32),to-read,,,,0,0
184955,The Silva Mind Control Method,José Silva,"Silva, José",Philip Miele,0671739891,9780671739898,0,3.94,Pocket Books,Paperback,176,1991,1977,28/11/22,26/9/22,to-read,to-read (#31),to-read,,,,2,0
24611623,In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,"Park, Yeonmi",Maryanne Vollers,1594206791,9781594206795,5,4.48,Penguin Press,Hardcover,273,2015,2015,,31/3/22,read-modern-non-fiction,read-modern-non-fiction (#2),read,,,,1,0
10814,Here Is New York,E.B. White,"White, E.B.","Roger Angell, Barbara Cohen, Judith Stonehill",1892145022,9781892145024,3,4.29,Little Bookroom,Hardcover,58,2000,1948,,15/5/22,read-modern-non-fiction,read-modern-non-fiction (#1),read,,,,1,0
43723901,Lifespan: Why We Age—and Why We Don't Have To,David A. Sinclair,"Sinclair, David A.",,1501191977,9781501191978,4,4.19,Atria Books,Hardcover,432,2019,2019,6/12/22,27/11/22,read-self-improvement,read-self-improvement (#4),read,,,,1,0
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,0316478520,9780316478526,3,4.02,"Little, Brown and Company",Hardcover,388,2019,2019,28/11/22,20/11/22,read-business,read-business (#15),read,,,,1,0
